,LEFT  (m),RIGHT   (m),UP (m),DOWN (m),,Model,L32,Area,Rh,Velocity,Discharge
1,2.04216,0.94488,2.22504,0.06096,,,,,,,
2,2.31648,1.88976,1.34112,0.06096,,,,,,,
3,1.12776,0.82296,0.85344,0.03048,,,,,,,
4,1.24968,0.64008,0.82296,0.12192,,1,0.15,1.4,1.22,0.127,1.116
5,1.09728,2.07264,0.64008,0,,,,,,,
6,1.2192,0.70104,0.67056,0,,,,,,,
7,0.64008,0,1.03632,0,,2,0.149,3.56,1.53,0.140,3.134
8,1.28016,0.42672,0.39624,0,,,,,,,
9,0.27432,1.64592,0.09144,0.18288,,,,,,,
10,1.6764,0.6096,0.70104,2.1336,,,,,,,
11,0.51816,1.73736,0.6096,0.27432,,,,,,,
12,0.97536,0.88392,0.67056,0,,,,,,,
13,1.95072,0.33528,0.64008,0,,3,0.117,1.15,0.93,0.160,1.197
14,0.48768,1.2192,0.88392,0.4572,,,,,,,
15,1.43256,1.09728,0.85344,0.27432,,,,,,,
16,0.64008,2.1336,0.57912,0.18288,,,,,,,
17,1.61544,0.762,0.42672,0.39624,,,,,,,
18,1.18872,1.76784,0.57912,0.12192,,,,,,,
19,1.95072,0.88392,0.54864,0.4572,,4,0.121,2.24,1.41,0.182,2.514
20,0.70104,1.92024,0.64008,0.12192,,,,,,,
21,0.57912,2.01168,1.09728,0.09144,,,,,,,
22,1.55448,1.28016,0.762,0.27432,,,,,,,
23,0.51816,1.55448,0.6096,0.12192,,,,,,,
24,2.71272,0.39624,0.57912,0.54864,,,,,,,
25,0.88392,1.0668,0.82296,0.27432,,,,,,,
26,1.95072,0.4572,0.54864,0.12192,,,,,,,
27,1.34112,0.94488,0.82296,0.24384,,,,,,,
28,2.92608,0,0.9144,0.73152,,,,,,,
