Epiphreatic lift passage
SURVEY NAME: MFS
SURVEY DATE: 7 10 2025  COMMENT:
SURVEY TEAM: 
Ripley Taylor, Meghan Monohan, Logan Leffler
DECLINATION:   11.23  FORMAT: DDDDLRUDLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00  DISCOVERY: 7 10 2025  PREFIX:

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

                MFS1                 MFS2    12.90   116.90     8.10     6.70     7.30     0.20     3.10
                MFS2                 MFS3    13.70   108.00     8.80     7.60     4.40     0.20     6.20
                MFS3                 MFS4    11.00   151.50    15.40     3.70     2.80     0.10     2.70
                MFS4                 MFS5    13.60   114.20    10.70     4.10     2.70     0.40     2.10
                MFS5                 MFS6    19.10    31.20     9.50     3.60     2.10     0.00     6.80
                MFS6                 MFS7    11.50    98.20    12.20     4.00     2.20     0.00     2.30
                MFS7                 MFS8     9.60    27.60    14.70     2.10     3.40     0.00    12.20  stake
                MFS8                 MFS9    24.00    16.20    10.20     4.20     1.30     0.00     1.40
                MFS9                MFS10    20.40    88.60     6.40     0.90     0.30     0.60     5.40
               MFS10                MFS11    23.10   119.20    19.20     5.50     2.30     7.00     2.00
               MFS11                MFS12    12.00    81.30    20.10     1.70     2.00     0.90     5.70
               MFS12                MFS13     9.40    96.40     8.10     3.20     2.20     0.00     2.90
               MFS13                MFS14    15.20    82.30     3.50     6.40     2.10     0.00     1.10
               MFS14                MFS15    14.50    59.80    17.70     1.60     2.90     1.50     4.00
               MFS15                MFS16    12.30   100.70     6.20     4.70     2.80     0.90     3.60
               MFS16                MFS17    10.40    54.50     6.80     2.10     1.90     0.60     7.00
               MFS17                MFS18     9.30    69.20    -7.20     5.30     1.40     1.30     2.50
               MFS18                MFS19     5.00   341.30    -7.60     3.90     1.90     0.40     5.80
               MFS19                MFS20     4.10    83.00    21.50     6.40     1.80     1.50     2.90
               MFS20                MFS21    14.80    30.50    16.50     2.30     2.10     0.40     6.30
               MFS21                MFS22     6.60    66.30    -4.50     1.90     3.60     0.30     6.60
               MFS22                MFS23    16.30    83.30    12.80     5.10     2.50     0.90     4.20
               MFS23                MFS24    27.70    90.90    15.10     1.70     2.00     0.40     5.10
               MFS24                MFS25    26.90   121.70    16.20     8.90     1.90     1.80     1.30
               MFS25                MFS26    23.00    69.30    10.10     2.90     2.70     0.90     3.50
               MFS26                MFS27    13.70    80.20    11.20     6.40     1.80     0.40     1.50
               MFS27                MFS28    18.70    61.10    11.20     4.40     2.70     0.80     3.10
               MFS28                MFS29    17.90    39.50    -4.50     9.60     3.00     2.40     0.00


