method,s_m,x_m,y_m,z_m,A_m2,Rh_m,De_m,Q_m3s,HGL_m,EGL_m,V_mps,Re,f_darcy,Sf,relative_roughness,hf_minor_m
darcy,0.0,0.0,0.0,0.0,5.362991958767916,0.6446281310050883,2.5785125240203532,0.29571537660646297,0.0,0.00015496532110091752,0.055140000000000015,142179.1805744823,0.022202127687837258,1.334319618081527e-06,,0.0
darcy,3.93192,3.4714947324074408,-1.7611897970040784,0.5540123718800201,5.362991958767916,0.6446281310050883,2.5785125240203532,0.29571537660646297,-5.246437992727118e-06,0.0001497188831081904,0.055140000000000015,142179.1805744823,0.022202127687837258,1.334319618081527e-06,,0.0
darcy,8.10768,7.396128876157855,-3.036380730816755,1.192844507601455,4.631873871327719,0.4943658724842413,1.9774634899369652,0.29571537660646297,-7.491227486541727e-05,0.00013283501285963402,0.06384357277882799,135521.57590882134,0.022202127687837258,1.7581591267636954e-06,,6.232418631751539e-05
darcy,11.46048,8.938505952866572,-5.877085925984263,2.0832010583112277,1.3542466769351365,0.29365120810896833,1.1746048324358733,0.29571537660646297,-0.0008519211322623704,0.0015783417555683126,0.21836153017241383,222382.4413561437,0.022202127687837258,1.4295511527006768e-05,,0.0007290788663492048
darcy,15.60576,12.653758328690628,-7.546786548064682,2.852841165736753,1.4024041557485627,0.30638839176358346,1.2255535670543338,0.29571537660646297,-0.0010333856860639304,0.0012328362133769899,0.21086316337148805,257551.81336950161,0.022202127687837258,4.3430526238667974e-05,,1.4328619949344002e-06
darcy,21.42744,15.62818609743924,-2.6354225423629147,3.813695511823743,1.593574753462467,0.23909612386987786,0.9563844954795114,0.29571537660646297,-0.0012869421659298616,0.0004681661767904034,0.1855673076923077,216246.68349057954,0.022202127687837258,4.075277962453048e-05,,1.6306837781394523e-05
darcy,24.93264,19.019197266708098,-3.1240747166151737,4.554431188359171,1.01130705508195,0.23464224635265188,0.9385689854106075,0.29571537660646297,-0.0028334359103786575,0.001524519056302332,0.29240909090909095,226435.76007826085,0.022202127687837258,6.821501039726661e-05,,0.001307386490004297
darcy,27.85872,20.3304653442021,-0.615850221868143,5.296947234849879,3.5476009392557293,0.38150384525033415,1.5260153810013366,0.29571537660646297,-0.004042023209248124,-0.0036878796973880707,0.0833564376799671,231526.46179927824,0.022202127687837258,3.241572817615037e-05,,0.0011137362849677958
darcy,35.17392,22.33908628283666,6.29786839688253,6.592357527235695,0.5311915844874889,0.14621301257928662,0.5848520503171465,0.29571537660646297,-0.009584101354253385,0.006211873730229002,0.5567019230769231,337769.586966204,0.022202127687837258,0.0001098104795030273,,0.004738792525344716
darcy,41.39184,28.516411157528072,6.448838964985126,7.285462430180051,0.413716522533525,0.10468320819335161,0.41873283277340645,0.29571537660646297,-0.02306342969650893,0.0029766962772392117,0.714777777777778,319009.45173356915,0.022202127687837258,0.000911444751642206,,0.0078120377921244415
darcy,48.43272,34.320680159611825,3.204942664684705,9.600973025868807,5.089369920055267,0.6309201635081545,2.523680654032618,0.29571537660646297,-0.03486147288267547,-0.03468939669538755,0.05810451612903227,568534.821326244,0.022202127687837258,0.00011486523646122803,,0.010989290840071409
darcy,52.09032,37.715989740224245,3.7244980397965763,10.857942724785158,1.5658477202062515,0.30288976238218357,1.2115590495287343,0.29571537660646297,-0.03544060751436919,-0.03362279217679533,0.1888532152842498,230611.58086908297,0.022202127687837258,9.238306655064003e-06,,0.000545344601272159
darcy,54.955439999999996,40.53484879713693,3.408312335814912,11.261641662434165,0.9792020692063325,0.23334239708899487,0.9333695883559795,0.29571537660646297,-0.037017222261757035,-0.03236881504252649,0.30199627421758574,263209.2817308948,0.022202127687837258,6.35549581234571e-05,,0.0013945221657691628
darcy,59.58839999999999,45.11747083560114,4.027907144611169,11.544477104157576,1.1492125625931253,0.23133750754456509,0.9253500301782603,0.29571537660646297,-0.03750927745595155,-0.034134477129753794,0.25731999999999994,259903.03296342577,0.022202127687837258,9.522843047017124e-05,,5.0865684963428176e-05
darcy,64.008,48.75639849470992,6.145813616879507,12.888181620223872,1.7978792090345777,0.3741653879186487,1.4966615516745947,0.29571537660646297,-0.03791262209679055,-0.03653373790811414,0.16448011363636367,255401.19011353076,0.022202127687837258,4.156260564508258e-05,,0.00021965454892999224
darcy,67.75703999999999,52.418706174727006,5.453813396811951,13.29307552473998,2.2407820823641185,0.376069828589627,1.504279314358508,0.29571537660646297,-0.03800167689323755,-0.03711401093365002,0.1319697167046565,222407.10264973686,0.022202127687837258,1.6569544582367584e-05,,2.6934911025921396e-05
darcy,70.92696,54.98123345865111,7.281646344731958,13.668406631954124,1.6599737015234026,0.2760528891047093,1.1042115564188373,0.29571537660646297,-0.0385530546389551,-0.03693554679030411,0.17814461538461543,202232.6010380199,0.022202127687837258,2.0860271275695358e-05,,0.000485252354595299
darcy,73.7616,57.61023250630191,8.280309399842219,13.313132034763404,1.5366613694102356,0.2883943609092671,1.1535774436370685,0.29571537660646297,-0.039216868117888194,-0.03732934419375556,0.192440170940171,209175.56353804277,0.022202127687837258,3.4415764151109504e-05,,0.0005662571772397895
darcy,75.2856,57.12591052040115,9.711177069756491,13.11157329601155,1.6278687156477851,0.25814662294232094,1.0325864917692837,0.29571537660646297,-0.039275030779850846,-0.037593092487817316,0.18165800089645903,204459.9828926722,0.022202127687837258,3.6220466831793805e-05,,2.96267051099693e-06
darcy,76.53528,58.279967976690706,9.852877507783727,13.56958254902437,2.239322764824318,0.3510050471809253,1.4040201887237012,0.29571537660646297,-0.03936629095713301,-0.038477467675687146,0.1320557184750733,191099.2360957443,0.022202127687837258,2.285320893609063e-05,,6.270097913891211e-05
darcy,81.04632,60.47521055172974,13.579659865401931,14.850787129597553,1.568766355285853,0.2740723394961439,1.0962893579845756,0.29571537660646297,-0.040014504659547104,-0.03820344699396045,0.18850186046511633,200373.29372346206,0.022202127687837258,2.325326371260173e-05,,0.0005433172996759967
darcy,83.05799999999999,62.31155234419446,14.385757554693356,14.692952535903762,2.4188188222198153,0.39375653235130664,1.5750261294052266,0.29571537660646297,-0.040167489599898555,-0.03940568755660848,0.1222561085972851,207533.1438965485,0.022202127687837258,2.0454316147125407e-05,,0.0001118374016446041
darcy,88.02624,67.12324169882655,14.951001144965389,15.793658643716704,2.3071810304250544,0.35975208524183816,1.4390083409673526,0.29571537660646297,-0.04047717260613351,-0.03963986416885449,0.12817172675521826,188699.53202330848,0.022202127687837258,1.1772876320638667e-05,,0.0002511925311837054
darcy,96.4692,75.27368287867156,14.82296378347069,17.99308779000624,1.1908031124774474,0.25551134194586966,1.0220453677834787,0.29571537660646297,-0.04169528211737326,-0.03855210474149382,0.24833272058823538,231649.41662394718,0.022202127687837258,3.259002748750597e-05,,0.0009429532127638316
darcy,104.66832,81.97259788944623,10.685629547805313,20.280569347354604,2.753732197604098,0.3920397766959841,1.5681591067839364,0.29571537660646297,-0.042428171342790005,-0.04184040406139838,0.10738712241653418,230346.78226084315,0.022202127687837258,2.7640616919785506e-05,,0.0005062604904173971
darcy,111.67871999999998,88.42880910600661,13.125228471917346,21.50996024394987,1.681133805850514,0.34434666549637105,1.3773866619854842,0.29571537660646297,-0.04300935460297986,-0.041432309009873686,0.17590234375000005,208610.52210094573,0.022202127687837258,1.5415608561280552e-05,,0.00047311367793185285
darcy,115.85448,92.46526975336593,13.822446290292627,22.32103627840018,1.2681469420868898,0.24251885297181883,0.9700754118872753,0.29571537660646297,-0.04400923212504762,-0.041237765491053575,0.23318699654775604,240080.42779365243,0.022202127687837258,4.0336976231762497e-05,,0.0008314399901982139
darcy,121.55424,97.36017485761032,16.524579079947344,23.428125464109726,1.9153542709885418,0.3519476767704842,1.4077907070819369,0.29571537660646297,-0.044371184757325564,-0.04315625663989437,0.154392,230402.74107874863,0.022202127687837258,3.574363086737323e-05,,0.0001582225148053233
